,TIC ID,TFOPWG Disposition
597,102195674,FP
598,124573851,
599,147660201,FP
600,151681127,FP
601,151825527,
602,151959065,FP
603,158588995,
604,169226822,KP
605,219187649,
606,280206394,
607,294395926,
608,308050066,FP
609,335499997,
610,410450228,
611,429304876,
612,437248515,KP
613,462162948,
614,281731203,KP
615,339857675,
616,74534430,
617,339636032,
618,445822015,FP
619,101497191,FP
620,156991337,
621,320417762,
622,458589703,
623,55383975,
624,55559618,FP
625,77156829,
626,77156829,
627,77253676,
628,141527579,
629,149302744,
630,149302744,
631,150428135,
632,150428135,
633,150428135,
634,219239945,FP
635,237914496,
636,237928815,
637,237928815,
638,260004324,
639,391904697,
640,219345200,
641,167342439,
642,391821647,FP
643,396720998,
644,309402106,
645,38510224,
646,150151262,
647,150151262,
648,150151262,
649,167600516,
650,167600516,
651,219195044,
652,219195044,
653,271971130,
654,119081096,
655,275248683,FP
656,150247134,
657,184952758,
658,131419878,FP
659,38571020,
660,38509907,
661,177077336,
662,339961200,
663,410245915,
664,174143743,
665,149788158,
666,96097215,
667,144138509,
668,11561667,
669,34068865,
670,36724087,
671,36724087,
672,106402532,
673,146846569,
674,150271680,
675,181804752,
676,181804752,
677,219189765,
678,260304800,
679,279425357,
680,310009611,
681,359271092,
682,373424049,
683,434486077,
684,437242640,KP
685,444842193,
686,167418903,
687,15445551,KP
688,104024556,KP
689,5868998,
690,14614418,KP
691,14661418,KP
692,61538902,KP
693,61988212,
694,72985822,
695,73228647,
696,73649615,
697,130924120,
698,131081852,FP
699,152147232,FP
700,162362398,FP
701,165317334,
702,178709444,
703,178819686,
704,178819686,
705,181159386,FP
706,219401954,
707,219698950,KP
708,229047362,KP
709,229811538,FP
710,248075138,KP
711,248111245,KP
712,277634430,
713,286864983,
714,286865921,KP
715,294301883,KP
716,304042899,
717,306996324,
718,306996324,
719,334305570,
720,335630746,
721,374095457,
722,398943781,KP
723,413376180,KP
724,429358906,
725,451645081,
726,460984940,
727,374829238,
728,375059587,
729,350584963,
730,349829627,
731,300710077,
732,308994098,
733,306472057,
734,294780517,
735,300013921,
736,299945285,
737,278895705,
738,277099925,
739,271596225,
740,271596225,
741,260640693,
742,255685030,
743,179308757,
744,177258735,
745,167303382,
746,143526444,FP
747,41227743,
748,38460940,
749,33831980,
750,30853470,
751,30122649,
752,149301575,
753,388106759,
754,100757807,
755,363914762,
756,55525572,
757,255760319,FP
758,102840239,
759,175180796,FP
760,30312676,
761,46096489,KP
762,73717937,KP
763,111991770,KP
764,125405602,
765,127530399,KP
766,158978373,
767,193641523,
768,220029715,KP
769,243200602,KP
770,270507305,
771,271168962,KP
772,276128561,
773,281924357,
774,307610438,FP
775,350332997,
776,362249359,
777,404340025,KP
778,405700729,
779,440887364,
780,440887364,
781,460205581,
782,461271719,
783,466840711,KP
784,287563610,
785,238932509,
786,141768070,
787,437333618,KP
788,380886535,
789,32283946,FP
790,229141709,FP
791,231289421,
792,42015200,
793,33595516,
794,423670610,
795,40083958,
796,29918916,
797,138727432,
798,160222069,
799,269558487,
800,306338882,FP
801,404467699,KP
802,198008005,
803,150430484,
804,321011127,
805,372913430,
806,309254930,
807,238898571,
808,231728511,
809,44797824,
810,44797824,
811,381976956,
812,358460246,
813,271596418,
814,200807066,
815,219229644,
816,219344917,
817,220459826,
818,237920046,
819,232025086,
820,14165625,
821,32497972,
822,255704097,
823,219380235,
824,37084932,
825,34077285,
826,237808867,
827,92013169,
828,123846039,
829,167031605,
830,25334160,
831,120269103,
832,437984134,FP
833,438295981,
834,284288080,
835,333607525,
836,33690636,
837,66561343,
838,123958679,
839,42755801,
840,250484865,
841,102283403,
842,229384040,
843,124543547,
844,177162886,
845,210873792,
846,214361331,
847,216935214,
848,238197638,
849,261257684,
850,261867566,
851,298372701,
852,305424003,
853,350153977,
854,364107753,FP
855,369327947,
856,389070884,
857,406941612,
858,407126408,
859,153027658,
860,259389219,
861,348844154,FP
862,207237016,
863,294869729,
864,150167117,
865,271722899,
866,278775625,
867,278199349,
868,301051430,
869,382068562,
870,300599466,
871,176796997,
872,261258875,
873,300557619,
874,175532955,
875,100921768,
876,206474443,
877,260417932,
878,260130483,
879,220475245,
880,260476837,
881,278198753,
882,425163745,FP
883,332660150,
884,67772767,
885,248434716,
886,408137826,
887,146520535,
888,399871011,
889,434234955,
890,167714792,
891,219205407,FP
892,262330063,FP
893,146438872,FP
894,189013222,FP
895,245947683,
896,449050247,FP
897,319312479,
898,449050248,FP
899,44792534,
900,146467675,
901,146434840,FP
902,249067445,
903,92880568,
904,279999655,
905,5109298,
906,265077027,
907,141776043,
908,25799609,
909,179155220,FP
910,179159972,
911,178367144,KP
912,445586472,
913,453209605,FP
914,280437559,
915,174599051,
916,177722855,
917,125894957,
918,409459226,
919,333821572,
920,133654092,
921,347098457,
922,268371979,
923,73038411,
924,5772442,
